Search Path:
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 9, 11, 12], [13, 7, 14, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 9, 16], [13, 7, 14, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 9, 11, 16], [13, 7, 14, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 16, 9], [13, 7, 14, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 12, 9], [13, 7, 16, 14]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 12, 9], [13, 7, 14, 16]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 12, 9], [13, 7, 14, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 12, 9], [13, 14, 7, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 12, 9], [13, 14, 7, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 12, 9], [13, 7, 14, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 12, 9], [13, 7, 14, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 12, 9], [13, 14, 7, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 12, 9], [13, 14, 7, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 12, 9], [13, 7, 16, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 9, 12], [13, 7, 16, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 9, 12], [13, 7, 16, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 9, 11, 12], [13, 7, 16, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 12, 9], [13, 7, 16, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 12, 9], [13, 7, 16, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 9, 12], [13, 7, 16, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 9, 11, 12], [13, 7, 16, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 9, 12], [13, 7, 16, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 16, 9], [13, 7, 12, 14]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 9, 16], [13, 7, 12, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 9, 16], [13, 7, 12, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 9, 11, 16], [13, 7, 12, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 16, 9], [13, 7, 12, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 16, 9], [13, 7, 12, 14]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 9, 16], [13, 7, 12, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 9, 11, 16], [13, 7, 12, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 9, 16], [13, 7, 12, 14]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 16, 14], [13, 7, 12, 9]] Level: 6 F-value:(17.0, 11.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 14, 16], [13, 7, 12, 9]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 12, 16], [13, 7, 14, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 12, 16], [13, 14, 7, 9]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 12, 16], [13, 14, 7, 9]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 12, 16], [13, 7, 14, 9]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 14, 16], [13, 7, 12, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 14, 16], [13, 7, 9, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 14, 12], [13, 7, 9, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 14, 12], [13, 9, 7, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 14, 11, 12], [13, 9, 7, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 7, 12], [13, 9, 14, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [5, 11, 15, 12], [13, 9, 14, 16]] Level: 13 F-value:(17.0, 4.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 14, 11, 12], [13, 7, 9, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 7, 11, 12], [13, 14, 9, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 7, 15, 8], [5, 10, 11, 12], [13, 14, 9, 16]] Level: 13 F-value:(17.0, 4.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 14, 11, 16], [13, 7, 9, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 14, 11, 16], [13, 9, 7, 12]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 7, 11, 16], [13, 14, 9, 12]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 7, 15, 8], [5, 10, 11, 16], [13, 14, 9, 12]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 14, 16], [13, 9, 7, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 7, 16], [13, 9, 14, 12]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [5, 11, 15, 16], [13, 9, 14, 12]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 14, 11, 16], [13, 7, 12, 9]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 7, 11, 16], [13, 14, 12, 9]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 7, 15, 8], [5, 10, 11, 16], [13, 14, 12, 9]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 7, 15, 8], [5, 10, 11, 9], [13, 14, 12, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 7, 11, 9], [13, 14, 12, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 14, 11, 9], [13, 7, 12, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 14, 9], [13, 7, 12, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 14, 16], [13, 7, 9, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 14, 12], [13, 7, 9, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 14, 12], [13, 9, 7, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 7, 12], [13, 9, 14, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [11, 5, 15, 12], [13, 9, 14, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 14, 16], [13, 9, 7, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 7, 16], [13, 9, 14, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [11, 5, 15, 16], [13, 9, 14, 12]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 14, 9], [13, 7, 12, 16]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 16, 14], [13, 7, 9, 12]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 16, 12], [13, 7, 9, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 16, 12], [13, 9, 7, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 7, 12], [13, 9, 16, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [11, 5, 15, 12], [13, 9, 16, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [5, 11, 15, 12], [13, 9, 16, 14]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 7, 12], [13, 9, 16, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 16, 12], [13, 9, 7, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 16, 12], [13, 7, 9, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 16, 14], [13, 9, 7, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 7, 14], [13, 9, 16, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [11, 5, 15, 14], [13, 9, 16, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [5, 11, 15, 14], [13, 9, 16, 12]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 7, 14], [13, 9, 16, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 16, 14], [13, 9, 7, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 16, 14], [13, 7, 9, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 9, 14], [13, 7, 16, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 9, 11, 14], [13, 7, 16, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 9, 14], [13, 7, 16, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 16, 14], [13, 7, 12, 9]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 12, 14], [13, 7, 16, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 14, 12], [13, 7, 16, 9]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 14, 11, 12], [13, 7, 16, 9]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 7, 11, 12], [13, 14, 16, 9]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 7, 15, 8], [5, 10, 11, 12], [13, 14, 16, 9]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 12, 14], [13, 7, 9, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 12, 14], [13, 9, 7, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 12, 14], [13, 7, 16, 9]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 14, 12], [13, 7, 16, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 12, 14], [13, 7, 9, 16]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 12, 14], [13, 9, 7, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 14, 16], [13, 7, 12, 9]] Level: 6 F-value:(17.0, 11.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 12, 16], [13, 7, 14, 9]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 12, 16], [13, 14, 7, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 12, 16], [13, 14, 7, 9]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 12, 16], [13, 7, 14, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 14, 16], [13, 7, 12, 9]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 14, 9], [13, 7, 12, 16]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 14, 11, 9], [13, 7, 12, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 7, 11, 9], [13, 14, 12, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 7, 8, 15], [5, 10, 11, 9], [13, 14, 12, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 14, 11, 16], [13, 7, 12, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 14, 11, 16], [13, 7, 9, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 7, 11, 16], [13, 14, 9, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 7, 11, 12], [13, 14, 9, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 7, 8, 15], [5, 10, 11, 12], [13, 14, 9, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 7, 8, 15], [5, 10, 11, 16], [13, 14, 9, 12]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 14, 11, 12], [13, 7, 9, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 14, 11, 12], [13, 9, 7, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 14, 11, 16], [13, 9, 7, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 7, 11, 16], [13, 14, 12, 9]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 7, 8, 15], [5, 10, 11, 16], [13, 14, 12, 9]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 14, 16], [13, 7, 9, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 14, 12], [13, 7, 9, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 14, 12], [13, 9, 7, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 7, 12], [13, 9, 14, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 14, 16], [13, 9, 7, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 7, 16], [13, 9, 14, 12]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 14, 9], [13, 7, 12, 16]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 14, 16], [13, 7, 9, 12]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 14, 12], [13, 7, 9, 16]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 14, 12], [13, 9, 7, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 7, 12], [13, 9, 14, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 14, 16], [13, 9, 7, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 7, 16], [13, 9, 14, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 12, 14], [13, 7, 16, 9]] Level: 6 F-value:(17.0, 11.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 14, 12], [13, 7, 16, 9]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 14, 12], [13, 7, 16, 9]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 14, 11, 12], [13, 7, 16, 9]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 7, 11, 12], [13, 14, 16, 9]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 7, 8, 15], [5, 10, 11, 12], [13, 14, 16, 9]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 12, 14], [13, 7, 16, 9]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 12, 14], [13, 7, 9, 16]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 12, 14], [13, 9, 7, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 12, 14], [13, 7, 9, 16]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 12, 14], [13, 9, 7, 16]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 16, 14], [13, 7, 12, 9]] Level: 6 F-value:(17.0, 11.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 16, 14], [13, 7, 9, 12]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 16, 12], [13, 7, 9, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 16, 12], [13, 9, 7, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 7, 12], [13, 9, 16, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 16, 14], [13, 9, 7, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 7, 14], [13, 9, 16, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 11, 9, 14], [13, 7, 16, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [5, 9, 11, 14], [13, 7, 16, 12]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 16, 14], [13, 7, 9, 12]] Level: 6 F-value:(17.0, 11.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 16, 12], [13, 7, 9, 14]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 16, 12], [13, 9, 7, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 7, 12], [13, 9, 16, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 16, 14], [13, 9, 7, 12]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 7, 14], [13, 9, 16, 12]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 9, 14], [13, 7, 16, 12]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 16, 5, 14], [13, 7, 9, 12]] Level: 5 F-value:(17.0, 12.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 16, 5, 12], [13, 7, 9, 14]] Level: 6 F-value:(17.0, 11.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 7, 5, 12], [13, 16, 9, 14]] Level: 7 F-value:(17.0, 10.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 7, 5, 12], [13, 9, 16, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 7, 5, 12], [13, 9, 14, 16]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 7, 5, 12], [13, 9, 14, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 5, 8], [11, 7, 15, 12], [13, 9, 14, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 7, 5, 8], [11, 10, 15, 12], [13, 9, 14, 16]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 7, 15, 8], [11, 10, 5, 12], [13, 9, 14, 16]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 7, 8, 15], [11, 10, 5, 12], [13, 9, 14, 16]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 7, 8, 15], [11, 10, 5, 12], [13, 9, 16, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 7, 15, 8], [11, 10, 5, 12], [13, 9, 16, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 7, 5, 8], [11, 10, 15, 12], [13, 9, 16, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 7, 5, 12], [13, 9, 16, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 5, 8], [11, 7, 15, 12], [13, 9, 16, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 8, 15], [11, 5, 7, 12], [13, 16, 9, 14]] Level: 8 F-value:(17.0, 9.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [11, 5, 7, 12], [13, 16, 9, 14]] Level: 9 F-value:(17.0, 8.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [11, 5, 15, 12], [13, 16, 9, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [5, 11, 15, 12], [13, 16, 9, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [5, 11, 9, 12], [13, 16, 15, 14]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [5, 9, 11, 12], [13, 16, 15, 14]] Level: 13 F-value:(17.0, 4.0)
State: [[1, 2, 3, 4], [6, 10, 7, 8], [11, 5, 9, 12], [13, 16, 15, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 5, 7, 8], [11, 10, 9, 12], [13, 16, 15, 14]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [5, 6, 7, 8], [11, 10, 9, 12], [13, 16, 15, 14]] Level: 13 F-value:(17.0, 4.0)
State: [[1, 2, 3, 4], [6, 5, 7, 8], [11, 10, 15, 12], [13, 16, 9, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [5, 6, 7, 8], [11, 10, 15, 12], [13, 16, 9, 14]] Level: 12 F-value:(17.0, 5.0)
State: [[1, 2, 3, 4], [6, 5, 15, 8], [11, 10, 7, 12], [13, 16, 9, 14]] Level: 10 F-value:(17.0, 7.0)
State: [[1, 2, 3, 4], [5, 6, 15, 8], [11, 10, 7, 12], [13, 16, 9, 14]] Level: 11 F-value:(17.0, 6.0)
State: [[1, 2, 3, 4], [6, 10, 15, 8], [5, 11, 7, 12], [13, 16, 9, 14]] Level: 10 F-value:(17.0, 7.0)
